,population,mAgeTotal,mAgeM,mAgeF,state,cDistrict,schoolTotal,No Schooling,Nursery,Kinder,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th nod,12th d,GEDalt,colUnder1yr,colOver1yr,Associates,Bachelors,Masters,ProfSchool,Doctorate,piTotal,psUTotal,psUM,psUF,psOTotal,psOM,psOF,eTotal,woE,withE,wTotal,woW,withW,healthTotal,healthM,healthF
417,715254,34.0,33.2,34.7,53,04,443185,11467,101,263,830,1876,4263,2723,3603,13177,3255,10096,9535,10130,10330,6488,95059,23650,37418,70470,39286,54519,26010,4897,3739,705631,110853,48530,62323,594778,304077,290701,239010,184673,54337,239010,179694,59316,708091,354071,354020
418,708228,37.4,36.1,38.9,53,05,474133,3347,185,177,40,0,319,366,437,1305,509,2199,4108,6132,6625,6346,91208,22867,41941,84326,57713,89001,38176,9008,7798,679893,95310,44771,50539,584583,290933,293650,274826,205484,69342,274826,197898,76928,694847,342684,352163
419,699178,41.6,39.7,43.9,53,06,499615,3982,229,0,481,210,963,353,351,1809,621,3941,4520,6885,7901,7854,102091,24097,39464,96415,48984,94834,37384,10053,6193,680205,83070,38618,44452,597135,298213,298922,278664,198835,79829,278664,191087,87577,676017,331483,344534
420,766221,36.6,36.2,37.2,53,07,567356,4136,0,20,139,144,958,1016,1165,2113,840,1558,3203,3437,4875,5831,52253,8737,24278,68255,38247,198514,95936,30239,21462,749660,68933,33339,35594,680727,343040,337687,344997,290111,54886,344997,279260,65737,761047,380828,380219
421,738218,38.0,37.6,38.3,53,08,490032,5891,82,137,8,997,333,683,1138,4042,1165,5034,5529,5231,7337,9755,93378,20032,39062,71540,49492,111743,44840,8414,4169,731964,61187,26374,34813,670777,334253,336524,261473,214346,47127,261473,209058,52415,735479,362239,373240
422,739873,37.3,36.4,38.3,53,09,521562,11601,76,134,422,651,1109,1528,797,6460,2942,4461,7792,7006,6206,8461,86057,12996,28356,71618,45013,134364,62967,12166,8379,731727,87559,41460,46099,644168,322980,321188,280742,233630,47112,280742,227327,53415,734401,365112,369289
423,732052,36.1,34.5,37.9,53,10,491669,6114,173,103,60,14,1400,180,795,2698,1204,3489,4598,6371,5922,10264,99583,23771,39526,87102,57412,93484,35376,7830,4200,719313,89444,40030,49414,629869,317875,311994,271628,214957,56671,271628,208628,63000,711028,349025,362003
424,617131,41.4,40.0,42.8,54,01,430176,3156,58,0,10,49,182,485,20,1240,2039,6253,9000,9178,10229,5000,139695,27771,24984,55773,34136,60233,29231,6882,4572,594323,103278,48865,54413,491045,245372,245673,240041,167609,72432,240041,163063,76978,605651,299558,306093
425,622850,42.6,41.7,43.4,54,02,441453,2531,17,46,435,131,577,505,354,2062,2515,8422,10472,14835,12016,6524,145955,28721,28393,51895,30320,55529,28983,6117,4098,610471,94750,40911,53839,515721,255755,259966,245164,171668,73496,245164,167004,78160,616219,300124,316095
426,591121,42.9,41.6,43.9,54,03,420128,3890,69,391,128,476,173,463,825,3299,4870,11764,11130,13647,17144,4691,137071,33015,21445,51187,31338,46481,20588,3652,2391,575125,121035,53424,67611,454090,226840,227250,236920,147344,89576,236920,142902,94018,580702,282923,297779
